,Borrower Company,Claim ATE Reference,Solicitor Reference,Status
,FDM Solicitors,FDM001\P23110056,NBC200976.001,Complete
,FDM Solicitors,FDM001\P23110035,NBC200979.001,Complete
,FDM Solicitors,FDM001\P23110030,NBC201003.001,Complete
,FDM Solicitors,FDM001\P23110041,NBC201030.001,Complete
,FDM Solicitors,FDM001\P24010009,NBC201057.001,Complete
,FDM Solicitors,FDM001\P23110058,NBC201110.001,Complete
,FDM Solicitors,FDM001\P23110018,NBC201610.001,Complete
,FDM Solicitors,FDM001\P23110037,NBC201612.001,Complete
,FDM Solicitors,FDM001\P23110013,NBC201620.001,Complete
,FDM Solicitors,FDM001\P24010008,NBC201684.001,Complete
,FDM Solicitors,FDM001\P23110019,NBC201707.001,Complete
,FDM Solicitors,FDM001\P24010002,NBC201714.001,Complete
,FDM Solicitors,FDM001\P24010015,NBC201715.001,Complete
,FDM Solicitors,FDM001\P24010007,NBC201727.001,Complete
,FDM Solicitors,FDM001\P23110022,NBC201745.001,Complete
,FDM Solicitors,FDM001\P24010011,NBC201755.001,Complete
,FDM Solicitors,FDM001\P24010001,NBC201759.001,Complete
,FDM Solicitors,FDM001\P23110038,NBC201761.001,Complete
,FDM Solicitors,FDM001\P24010004,NBC201773.001,Complete
,FDM Solicitors,FDM001\P24010016,NBC201776.001,Complete
,FDM Solicitors,FDM001\P24010012,NBC201796.001,Complete
,FDM Solicitors,FDM001\P24010014,NBC201818.001,Complete
,FDM Solicitors,FDM001\P24010005,NBC201981.001,Complete
,FDM Solicitors,FDM001\P24010006,NBC202001.001,Complete
,FDM Solicitors,FDM001\P23120001,NBC202188.001,Complete
,FDM Solicitors,FDM001\P24020047,NBC140644.001,Complete
,FDM Solicitors,FDM001\P24020048,NBC141838.001,Complete
,FDM Solicitors,FDM001\P24020013,NBC143286.001,Complete
,FDM Solicitors,FDM001\P24020029,NBC143315.001,Complete
,FDM Solicitors,FDM001\P24020007,NBC143321.001,Complete
,FDM Solicitors,FDM001\P24020031,NBC143330.001,Complete
,FDM Solicitors,FDM001\P24020004,NBC143341.001,Complete
,FDM Solicitors,FDM001\P24020006,NBC143348.001,Complete
,FDM Solicitors,FDM001\P24020034,NBC143349.001,Complete
,FDM Solicitors,FDM001\P24020005,NBC143351.001,Complete
,FDM Solicitors,FDM001\P24020033,NBC143357.001,Complete
,FDM Solicitors,FDM001\P24020043,NBC143369.001,Complete
,FDM Solicitors,FDM001\P24020044,NBC143385.001,Complete
,FDM Solicitors,FDM001\P24020023,NBC143388.001,Complete
,FDM Solicitors,FDM001\P23080027,NBC200502.001,Complete
,FDM Solicitors,FDM001\P24020002,NBC200779.001,Complete
,FDM Solicitors,FDM001\P24020038,NBC200911.001,Complete
,FDM Solicitors,FDM001\P24020040,NBC201536.001,Complete
,FDM Solicitors,FDM001\P23080055,NBC201573.001,Complete
,FDM Solicitors,FDM001\P24020003,NBC201574.001,Complete
,FDM Solicitors,FDM001\P24020039,NBC201575.001,Complete
,FDM Solicitors,FDM001\P24020027,NBC201710.001,Complete
,FDM Solicitors,FDM001\P24020028,NBC201712.001,Complete
,FDM Solicitors,FDM001\P24020026,NBC201713.001,Complete
,FDM Solicitors,FDM001\P24020025,NBC201766.001,Complete
,FDM Solicitors,FDM001\P24020035,NBC201774.001,Complete
,FDM Solicitors,FDM001\P24020030,NBC201807.001,Complete
,FDM Solicitors,FDM001\P24020001,NBC201816.001,Complete
,FDM Solicitors,FDM001\P24020014,NBC201840.001,Complete
,FDM Solicitors,FDM001\P24020036,NBC201841.001,Complete
,FDM Solicitors,FDM001\P24020037,NBC201851.001,Complete
,FDM Solicitors,FDM001\P24020015,NBC201874.001,Complete
,FDM Solicitors,FDM001\P24020042,NBC201884.001,Complete
,FDM Solicitors,FDM001\P24020032,NBC201899.001,Complete
,FDM Solicitors,FDM001\P24020016,NBC201902.001,Complete
,FDM Solicitors,FDM001\P24020017,NBC201928.001,Complete
,FDM Solicitors,FDM001\P24020008,NBC201958.001,Complete
,FDM Solicitors,FDM001\P24020010,NBC201973.001,Complete
,FDM Solicitors,FDM001\P24020009,NBC201975.001,Complete
,FDM Solicitors,FDM001\P24020041,NBC201976.001,Complete
,FDM Solicitors,FDM001\P24020011,NBC201999.001,Complete
,FDM Solicitors,FDM001\P24020018,NBC202018.001,Active
,FDM Solicitors,FDM001\P24020020,NBC202040.001,Complete
,FDM Solicitors,FDM001\P24020019,NBC202051.001,Complete
,FDM Solicitors,FDM001\P24020021,NBC202116.001,Active
,FDM Solicitors,FDM001\P24020022,NBC202134.001,Complete
,FDM Solicitors,FDM001\P24020045,NBC202172.001,Complete
,FDM Solicitors,FDM001\P24020024,NBC202180.001,Complete
,FDM Solicitors,FDM001\P24020046,NBC202246.001,Complete
,FDM Solicitors,FDM001\P24020012,NBC202301.001,Complete
,FDM Solicitors,FDM001\P24020073,NBC140822.001,Active
,FDM Solicitors,FDM001\P24020094,NBC142573.001,Complete
,FDM Solicitors,FDM001\P24020052,NBC143076.001,Active
,FDM Solicitors,FDM001\P24020068,NBC143395.001,Complete
,FDM Solicitors,FDM001\P24020070,NBC143396.001,Complete
,FDM Solicitors,FDM001\P24020062,NBC143410.001,Active
,FDM Solicitors,FDM001\P24020071,NBC143458.001,Complete
,FDM Solicitors,FDM001\P24020079,NBC201560.001,Complete
,FDM Solicitors,FDM001\P24020078,NBC201618.001,Complete
,FDM Solicitors,FDM001\P24020049,NBC201650.001,Complete
,FDM Solicitors,FDM001\P24020081,NBC201675.001,Complete
,FDM Solicitors,FDM001\P24020080,NBC201768.001,Active
,FDM Solicitors,FDM001\P24020063,NBC201803.001,Complete
,FDM Solicitors,FDM001\P24020082,NBC201823.001,Active
,FDM Solicitors,FDM001\P24020064,NBC201835.001,Complete
,FDM Solicitors,FDM001\P24020050,NBC201838.001,Complete
,FDM Solicitors,FDM001\P24020051,NBC201866.001,Complete
,FDM Solicitors,FDM001\P24020083,NBC201896.001,Complete
,FDM Solicitors,FDM001\P24020054,NBC201926.001,Active
,FDM Solicitors,FDM001\P24020084,NBC201943.001,Complete
,FDM Solicitors,FDM001\P24020088,NBC201944.001,Complete
,FDM Solicitors,FDM001\P24020085,NBC201946.001,Complete
,FDM Solicitors,FDM001\P24020087,NBC201951.001,Complete
,FDM Solicitors,FDM001\P24020086,NBC201956.001,Complete
,FDM Solicitors,FDM001\P24020065,NBC201982.001,Active
,FDM Solicitors,FDM001\P24020066,NBC201984.001,Complete
,FDM Solicitors,FDM001\P24020095,NBC201998.001,Complete
,FDM Solicitors,FDM001\P24020053,NBC202007.001,Complete
,FDM Solicitors,FDM001\P24020067,NBC202014.001,Complete
,FDM Solicitors,FDM001\P24020074,NBC202052.001,Complete
,FDM Solicitors,FDM001\P24020089,NBC202068.001,Complete
,FDM Solicitors,FDM001\P24020072,NBC202089.001,Complete
,FDM Solicitors,FDM001\P24020075,NBC202091.001,Complete
,FDM Solicitors,FDM001\P24020058,NBC202097.001,Complete
,FDM Solicitors,FDM001\P24020055,NBC202115.001,Complete
,FDM Solicitors,FDM001\P24020057,NBC202126.001,Complete
,FDM Solicitors,FDM001\P24020059,NBC202132.001,Complete
,FDM Solicitors,FDM001\P24020076,NBC202141.001,Complete
,FDM Solicitors,FDM001\P24020091,NBC202160.001,Complete
,FDM Solicitors,FDM001\P24020056,NBC202165.001,Complete
,FDM Solicitors,FDM001\P24020090,NBC202171.001,Complete
,FDM Solicitors,FDM001\P24020077,NBC202173.001,Complete
,FDM Solicitors,FDM001\P24020092,NBC202264.001,Complete
,FDM Solicitors,FDM001\P24020060,NBC202288.001,Complete
,FDM Solicitors,FDM001\P24020069,NBC202312.001,Complete
,FDM Solicitors,FDM001\P24020093,NBC202394.001,Complete
,FDM Solicitors,FDM001\P24020061,NBC202437.001,Complete
,FDM Solicitors,FDM001\P24030010,NBC143331.001,Active
,FDM Solicitors,FDM001\P24020105,NBC143354.001,Complete
,FDM Solicitors,FDM001\P24020106,NBC143371.001,Complete
,FDM Solicitors,FDM001\P24020097,NBC143380.001,Complete
,FDM Solicitors,FDM001\P24020099,NBC143430.001,Complete
,FDM Solicitors,FDM001\P24020107,NBC143434.001,Complete
,FDM Solicitors,FDM001\P24030009,NBC143445.001,Active
,FDM Solicitors,FDM001\P24020100,NBC143462.001,Active
,FDM Solicitors,FDM001\P24030014,NBC201604.001,Complete
,FDM Solicitors,FDM001\P24030006,NBC201624.001,Active
,FDM Solicitors,FDM001\P24020102,NBC201819.001,Complete
,FDM Solicitors,FDM001\P24020103,NBC201830.001,Complete
,FDM Solicitors,FDM001\P24030008,NBC201854.001,Complete
,FDM Solicitors,FDM001\P24020096,NBC201959.001,Complete
,FDM Solicitors,FDM001\P24020101,NBC202103.001,Complete
,FDM Solicitors,FDM001\P24030007,NBC202112.001,Active
,FDM Solicitors,FDM001\P24030002,NBC202217.001,Complete
,FDM Solicitors,FDM001\P24030011,NBC202228.001,Complete
,FDM Solicitors,FDM001\P24020098,NBC202277.001,Complete
,FDM Solicitors,FDM001\P24030005,NBC202346.001,Complete
,FDM Solicitors,FDM001\P24020108,NBC202370.001,Active
,FDM Solicitors,FDM001\P24030013,NBC202461.001,Active
,FDM Solicitors,FDM001\P24030012,NBC202463.001,Complete
,FDM Solicitors,FDM001\P24020109,NBC202486.001,Complete
,FDM Solicitors,FDM001\P24020110,NBC202538.001,Active
,FDM Solicitors,FDM001\P24030033,NBC143327.001,Complete
,FDM Solicitors,FDM001\P24030019,NBC143411.001,Active
,FDM Solicitors,FDM001\P24030022,NBC143469.001,Complete
,FDM Solicitors,FDM001\P24030035,NBC143534.001,Complete
,FDM Solicitors,FDM001\P24030032,NBC201937.001,Complete
,FDM Solicitors,FDM001\P24030027,NBC202010.001,Complete
,FDM Solicitors,FDM001\P24030020,NBC202073.001,Active
,FDM Solicitors,FDM001\P24030030,NBC202154.001,Complete
,FDM Solicitors,FDM001\P24030029,NBC202161.001,Complete
,FDM Solicitors,FDM001\P24030025,NBC202323.001,Complete
,FDM Solicitors,FDM001\P24030026,NBC202325.001,Active
,FDM Solicitors,FDM001\P24030021,NBC202333.001,Complete
,FDM Solicitors,FDM001\P24030034,NBC202350.001,Complete
,FDM Solicitors,FDM001\P24030028,NBC202352.001,Complete
,FDM Solicitors,FDM001\P24030023,NBC202375.001,Active
,FDM Solicitors,FDM001\P24030024,NBC202482.001,Complete
,FDM Solicitors,FDM001\P24030017,NBC202536.001,Complete
,FDM Solicitors,FDM001\P24030018,NBC202554.001,Complete
,FDM Solicitors,FDM001\P24030001,NBC202654.001,Complete
,FDM Solicitors,FDM001\P24030016,NBC202663.001,Active
,FDM Solicitors,FDM001\P24030003,NBC202669.001,Complete
,FDM Solicitors,FDM001\P24030031,NBC202728.001,Complete
,FDM Solicitors,FDM001\P24030004,NBC202946.001,Complete
,FDM Solicitors,FDM001\P24030045,NBC142976.001,Active
,FDM Solicitors,FDM001\P24030050,NBC143342.001,Complete
,FDM Solicitors,FDM001\P24030049,NBC143382.001,Complete
,FDM Solicitors,FDM001\P24030053,NBC143448.001,Active
,FDM Solicitors,FDM001\P24030048,NBC143485.001,Complete
,FDM Solicitors,FDM001\P24030051,NBC201226.001,Complete
,FDM Solicitors,FDM001\P24030047,NBC201582.001,Active
,FDM Solicitors,FDM001\P24030043,NBC201900.001,Complete
,FDM Solicitors,FDM001\P24030037,NBC201950.001,Complete
,FDM Solicitors,FDM001\P24030057,NBC202028.001,Complete
,FDM Solicitors,FDM001\P24030044,NBC202032.001,Complete
,FDM Solicitors,FDM001\P24030040,NBC202167.001,Complete
,FDM Solicitors,FDM001\P24030056,NBC202198.001,Complete
,FDM Solicitors,FDM001\P24030041,NBC202281.001,Active
,FDM Solicitors,FDM001\P24030046,NBC202317.001,Complete
,FDM Solicitors,FDM001\P24030058,NBC202355.001,Complete
,FDM Solicitors,FDM001\P24030054,NBC202384.001,Complete
,FDM Solicitors,FDM001\P24030059,NBC202491.001,Complete
,FDM Solicitors,FDM001\P24030036,NBC202524.001,Complete
,FDM Solicitors,FDM001\P24030052,NBC202530.001,Complete
,FDM Solicitors,FDM001\P24030055,NBC202548.001,Complete
,FDM Solicitors,FDM001\P24030038,NBC202614.001,Complete
,FDM Solicitors,FDM001\P24030039,NBC202619.001,Complete
,FDM Solicitors,FDM001\P24030042,NBC203023.001,Active
,FDM Solicitors,FDM001\P24030060,NBC202428.001,Complete
,FDM Solicitors,FDM001\P24030071,NBC143291.001,Complete
,FDM Solicitors,FDM001\P24030085,NBC143450.001,Active
,FDM Solicitors,FDM001\P24030076,NBC202128.001,Complete
,FDM Solicitors,FDM001\P24030072,NBC202189.001,Complete
,FDM Solicitors,FDM001\P24030082,NBC202255.001,Complete
,FDM Solicitors,FDM001\P24030069,NBC202276.001,Active
,FDM Solicitors,FDM001\P24030081,NBC202400.001,Complete
,FDM Solicitors,FDM001\P24030061,NBC202417.001,Complete
,FDM Solicitors,FDM001\P24030062,NBC202427.001,Complete
,FDM Solicitors,FDM001\P24030068,NBC202465.001,Complete
,FDM Solicitors,FDM001\P24030077,NBC202484.001,Active
,FDM Solicitors,FDM001\P24030063,NBC202495.001,Complete
,FDM Solicitors,FDM001\P24030074,NBC202498.001,Complete
,FDM Solicitors,FDM001\P24030084,NBC202521.001,Complete
,FDM Solicitors,FDM001\P24030064,NBC202523.001,Complete
,FDM Solicitors,FDM001\P24030079,NBC202557.001,Complete
,FDM Solicitors,FDM001\P24030067,NBC202612.001,Complete
,FDM Solicitors,FDM001\P24030080,NBC202627.001,Complete
,FDM Solicitors,FDM001\P24030065,NBC202640.001,Complete
,FDM Solicitors,FDM001\P24030075,NBC202649.001,Complete
,FDM Solicitors,FDM001\P24030073,NBC202662.001,Complete
,FDM Solicitors,FDM001\P24030078,NBC202917.001,Complete
,FDM Solicitors,FDM001\P24030066,NBC202920.001,Active
,FDM Solicitors,FDM001\P24030083,NBC203061.001,Complete
,FDM Solicitors,FDM001\P24030070,NBC203068.001,Complete
,FDM Solicitors,FDM001\P24030088,NBC140810.001,Complete
,FDM Solicitors,FDM001\P24040013,NBC143325.001,Active
,FDM Solicitors,FDM001\P24040006,NBC143474.001,Complete
,FDM Solicitors,FDM001\P24040015,NBC143530.001,Complete
,FDM Solicitors,FDM001\P24040001,NBC143531.001,Complete
,FDM Solicitors,FDM001\P24040007,NBC143547.001,Complete
,FDM Solicitors,FDM001\P24040018,NBC201230.001,Active
,FDM Solicitors,FDM001\P24040011,NBC201399.001,Active
,FDM Solicitors,FDM001\P24040017,NBC201667.001,Complete
,FDM Solicitors,FDM001\P24030089,NBC202045.001,Complete
,FDM Solicitors,FDM001\P24030090,NBC202219.001,Complete
,FDM Solicitors,FDM001\P24040019,NBC202348.001,Complete
,FDM Solicitors,FDM001\P24040010,NBC202361.001,Complete
,FDM Solicitors,FDM001\P24040002,NBC202391.001,Complete
,FDM Solicitors,FDM001\P24040003,NBC202420.001,Active
,FDM Solicitors,FDM001\P24030087,NBC202426.001,Active
,FDM Solicitors,FDM001\P24030086,NBC202472.001,Complete
,FDM Solicitors,FDM001\P24040016,NBC202474.001,Complete
,FDM Solicitors,FDM001\P24040012,NBC202615.001,Active
,FDM Solicitors,FDM001\P24040008,NBC202753.001,Active
,FDM Solicitors,FDM001\P24040004,NBC202812.001,Active
,FDM Solicitors,FDM001\P24040005,NBC202878.001,Complete
,FDM Solicitors,FDM001\P24030091,NBC202955.001,Complete
,FDM Solicitors,FDM001\P24040014,NBC203192.001,Complete
,FDM Solicitors,FDM001\P24040009,NBC203354.001,Complete
,FDM Solicitors,FDM001\P24040044,NBC143527.001,Complete
,FDM Solicitors,FDM001\P24040043,NBC201551.001,Active
,FDM Solicitors,FDM001\P24040036,NBC202192.001,Complete
,FDM Solicitors,FDM001\P24040021,NBC202376.001,Complete
,FDM Solicitors,FDM001\P24040024,NBC202380.001,Active
,FDM Solicitors,FDM001\P24040025,NBC202478.001,Complete
,FDM Solicitors,FDM001\P24040026,NBC202481.001,Active
,FDM Solicitors,FDM001\P24040040,NBC202573.001,Complete
,FDM Solicitors,FDM001\P24040033,NBC202582.001,Complete
,FDM Solicitors,FDM001\P24040022,NBC202591.001,Complete
,FDM Solicitors,FDM001\P24040027,NBC202608.001,Active
,FDM Solicitors,FDM001\P24040042,NBC202611.001,Complete
,FDM Solicitors,FDM001\P24040023,NBC202680.001,Complete
,FDM Solicitors,FDM001\P24040028,NBC202750.001,Active
,FDM Solicitors,FDM001\P24040034,NBC202756.001,Complete
,FDM Solicitors,FDM001\P24040029,NBC202813.001,Complete
,FDM Solicitors,FDM001\P24040035,NBC202887.001,Complete
,FDM Solicitors,FDM001\P24040030,NBC203004.001,Complete
,FDM Solicitors,FDM001\P24040031,NBC203016.001,Active
,FDM Solicitors,FDM001\P24040032,NBC203070.001,Complete
,FDM Solicitors,FDM001\P24040020,NBC203087.001,Complete
,FDM Solicitors,FDM001\P24040037,NBC203125.001,Active
,FDM Solicitors,FDM001\P24040038,NBC203180.001,Active
,FDM Solicitors,FDM001\P24040039,NBC203620.001,Active
,FDM Solicitors,FDM001\P24040080,NBC202506.001,Complete
,FDM Solicitors,FDM001\P24040045,NBC202803.001,Active
,FDM Solicitors,FDM001\P24040077,NBC202947.001,Complete
,FDM Solicitors,FDM001\P24040081,NBC203036.001,Active
,FDM Solicitors,FDM001\P24040075,NBC203181.001,Complete
,FDM Solicitors,FDM001\P24040079,NBC203245.001,Active
,FDM Solicitors,FDM001\P24040082,NBC203303.001,Active
,FDM Solicitors,FDM001\P24040083,NBC203390.001,Complete
,FDM Solicitors,FDM001\P24040078,NBC203517.001,Active
,FDM Solicitors,FDM001\P24050001,NBC203548.001,Complete
,FDM Solicitors,FDM001\P24040076,NBC203556.001,Active
,FDM Solicitors,FDM001\P24040074,NBC203572.001,Complete
,FDM Solicitors,FDM001\P24040073,NBC203618.001,Complete
,FDM Solicitors,FDM001\P24040071,NBC203653.001,Complete
,FDM Solicitors,FDM001\P24040070,NBC203515.001,Active
,FDM Solicitors,FDM001\P24040053,NBC143471.001,Complete
,FDM Solicitors,FDM001\P24040051,NBC143483.001,Complete
,FDM Solicitors,FDM001\P24040066,NBC143495.001,Complete
,FDM Solicitors,FDM001\P24040072,NBC143540.001,Active
,FDM Solicitors,FDM001\P24040052,NBC143546.001,Active
,FDM Solicitors,FDM001\P24040050,NBC143567.001,Complete
,FDM Solicitors,FDM001\P24040067,NBC143575.001,Complete
,FDM Solicitors,FDM001\P24040068,NBC143603.001,Active
,FDM Solicitors,FDM001\P24050009,NBC143630.001,Complete
,FDM Solicitors,FDM001\P24040060,NBC201687.001,Active
,FDM Solicitors,FDM001\P24040061,NBC202382.001,Complete
,FDM Solicitors,FDM001\P24040058,NBC202586.001,Complete
,FDM Solicitors,FDM001\P24040062,NBC202600.001,Active
,FDM Solicitors,FDM001\P24040055,NBC202665.001,Complete
,FDM Solicitors,FDM001\P24050007,NBC202673.001,Active
,FDM Solicitors,FDM001\P24050011,NBC202762.001,Complete
,FDM Solicitors,FDM001\P24040063,NBC202770.001,Active
,FDM Solicitors,FDM001\P24040054,NBC202799.001,Complete
,FDM Solicitors,FDM001\P24040056,NBC202841.001,Complete
,FDM Solicitors,FDM001\P24040059,NBC202914.001,Complete
,FDM Solicitors,FDM001\P24050005,NBC202929.001,Complete
,FDM Solicitors,FDM001\P24040048,NBC202940.001,Active
,FDM Solicitors,FDM001\P24040064,NBC202976.001,Complete
,FDM Solicitors,P24050006,NBC203001.001,Complete
,FDM Solicitors,FDM001\P24050012,NBC203063.001,Active
,FDM Solicitors,FDM001\P24040057,NBC203090.001,Complete
,FDM Solicitors,FDM001\P24050010,NBC203229.001,Complete
,FDM Solicitors,FDM001\P24050002,NBC203250.001,Complete
,FDM Solicitors,FDM001\P24050013,NBC203402.001,Active
,FDM Solicitors,FDM001\P24040065,NBC203424.001,Complete
,FDM Solicitors,FDM001\P24050008,NBC203456.001,Complete
,FDM Solicitors,FDM001\P24050014,NBC203467.001,Complete
,FDM Solicitors,FDM001\P24050003,NBC203483.001,Active
,FDM Solicitors,FDM001\P24040069,NBC203496.001,Complete
,FDM Solicitors,FDM001\P24040047,NBC203555.001,Active
,FDM Solicitors,FDM001\P24050004,NBC203591.001,Complete
,FDM Solicitors,FDM001\P24050046,NBC143500.001,Complete
,FDM Solicitors,FDM001\P24050040,NBC143514.001,Active
,FDM Solicitors,FDM001\P24050026,NBC143517.001,Complete
,FDM Solicitors,FDM001\P24050018,NBC143553.001,Complete
,FDM Solicitors,FDM001\P24050033,NBC143573.001,Active
,FDM Solicitors,FDM001\P24050031,NBC143606.001,Complete
,FDM Solicitors,FDM001\P24050041,NBC143616.001,Complete
,FDM Solicitors,FDM001\P24050030,NBC143624.001,Complete
,FDM Solicitors,FDM001\P24050044,NBC202720.001,Complete
,FDM Solicitors,FDM001\P24050042,NBC202772.001,Complete
,FDM Solicitors,FDM001\P24050022,NBC202805.001,Complete
,FDM Solicitors,FDM001\P24050043,NBC202835.001,Active
,FDM Solicitors,FDM001\P24050023,NBC202901.001,Complete
,FDM Solicitors,FDM001\P24050038,NBC203053.001,Complete
,FDM Solicitors,FDM001\P24050024,NBC203131.001,Complete
,FDM Solicitors,FDM001\P24050034,NBC203308.001,Active
,FDM Solicitors,FDM001\P24050020,NBC203433.001,Complete
,FDM Solicitors,FDM001\P24050039,NBC203437.001,Complete
,FDM Solicitors,FDM001\P24050036,NBC203473.001,Active
,FDM Solicitors,FDM001\P24050015,NBC203489.001,Complete
,FDM Solicitors,FDM001\P24050028,NBC203525.001,Complete
,FDM Solicitors,FDM001\P24050032,NBC203551.001,Complete
,FDM Solicitors,FDM001\P24050021,NBC203560.001,Complete
,FDM Solicitors,FDM001\P24050017,NBC203561.001,Complete
,FDM Solicitors,FDM001\P24050029,NBC203587.001,Complete
,FDM Solicitors,FDM001\P24050066,NBC203903.001,Complete
,FDM Solicitors,FDM001\P24050075,NBC143576.001,Complete
,FDM Solicitors,FDM001\P24050071,NBC143614.001,Complete
,FDM Solicitors,FDM001\P24050072,NBC143627.001,Complete
,FDM Solicitors,FDM001\P24050068,NBC201829.001,Complete
,FDM Solicitors,FDM001\P24050051,NBC202444.001,Active
,FDM Solicitors,FDM001\P24050054,NBC202552.001,Active
,FDM Solicitors,FDM001\P24050059,NBC202597.001,Active
,FDM Solicitors,FDM001\P24050050,NBC202738.001,Active
,FDM Solicitors,FDM001\P24050056,NBC202796.001,Active
,FDM Solicitors,FDM001\P24050076,NBC202897.001,Complete
,FDM Solicitors,FDM001\P24050060,NBC203008.001,Active
,FDM Solicitors,FDM001\P24050061,NBC203202.001,Complete
,FDM Solicitors,FDM001\P24050057,NBC203295.001,Active
,FDM Solicitors,FDM001\P24050058,NBC203407.001,Active
,FDM Solicitors,FDM001\P24050052,NBC203435.001,Active
,FDM Solicitors,FDM001\P24050073,NBC203526.001,Complete
,FDM Solicitors,FDM001\P24050062,NBC203590.001,Active
,FDM Solicitors,FDM001\P24050025,NBC203629.001,Complete
,FDM Solicitors,FDM001\P24050064,NBC203638.001,Complete
,FDM Solicitors,FDM001\P24050027,NBC203665.001,Active
,FDM Solicitors,FDM001\P24050069,NBC203670.001,Complete
,FDM Solicitors,FDM001\P24050037,NBC203671.001,Active
,FDM Solicitors,FDM001\P24050067,NBC203736.001,Complete
,FDM Solicitors,FDM001\P24050070,NBC204192.001,Complete
,FDM Solicitors,FDM001\P24050084,NBC143623.001,Complete
,FDM Solicitors,FDM001\P24050091,NBC143639.001,Complete
,FDM Solicitors,FDM001\P24050078,NBC201986.001,Active
,FDM Solicitors,FDM001\P24050074,NBC202088.001,Complete
,FDM Solicitors,FDM001\P24050092,NBC202257.001,Complete
,FDM Solicitors,FDM001\P24050049,NBC202710.001,Complete
,FDM Solicitors,FDM001\P24050053,NBC202969.001,Complete
,FDM Solicitors,FDM001\P24050077,NBC202991.001,Complete
,FDM Solicitors,FDM001\P24050087,NBC203113.001,Complete
,FDM Solicitors,FDM001\P24050047,NBC203184.001,Complete
,FDM Solicitors,FDM001\P24050088,NBC203226.001,Active
,FDM Solicitors,FDM001\P24050083,NBC203427.001,Active
,FDM Solicitors,FDM001\P24050081,NBC203504.001,Active
,FDM Solicitors,FDM001\P24050082,NBC203521.001,Complete
,FDM Solicitors,FDM001\P24050048,NBC203533.001,Complete
,FDM Solicitors,FDM001\P24050079,NBC203538.001,Complete
,FDM Solicitors,FDM001\P24050080,NBC203573.001,Complete
,FDM Solicitors,FDM001\P24050065,NBC203616.001,Complete
,FDM Solicitors,FDM001\P24050045,NBC203621.001,Complete
,FDM Solicitors,FDM001\P24050063,NBC203633.001,Active
,FDM Solicitors,FDM001\P24050090,NBC203646.001,Complete
,FDM Solicitors,FDM001\P24050016,NBC203688.001,Complete
,FDM Solicitors,FDM001\P24050019,NBC203721.001,Complete
,FDM Solicitors,FDM001\P24050089,NBC203852.001,Active
,FDM Solicitors,FDM001\P24050085,NBC204069.001,Complete
,FDM Solicitors,FDM001\P24060002,NBC143611.001,Complete
,FDM Solicitors,FDM001\P24050093,NBC202087.001,Complete
,FDM Solicitors,FDM001\P24060003,NBC202351.001,Complete
,FDM Solicitors,FDM001\P24060017,NBC202802.001,Active
,FDM Solicitors,FDM001\P24060020,NBC202936.001,Complete
,FDM Solicitors,FDM001\P24060010,NBC203149.001,Active
,FDM Solicitors,FDM001\P24050086,NBC203200.001,Active
,FDM Solicitors,FDM001\P24060019,NBC203210.001,Complete
,FDM Solicitors,FDM001\P24060018,NBC203281.001,Active
,FDM Solicitors,FDM001\P24050096,NBC203300.001,Complete
,FDM Solicitors,FDM001\P24060021,NBC203357.001,Active
,FDM Solicitors,FDM001\P24060015,NBC203363.001,Active
,FDM Solicitors,FDM001\P24060011,NBC203482.001,Active
,FDM Solicitors,FDM001\P24060005,NBC203619.001,Complete
,FDM Solicitors,FDM001\P24060007,NBC203723.001,Complete
,FDM Solicitors,FDM001\P24050095,NBC203785.001,Complete
,FDM Solicitors,FDM001\P24060008,NBC203925.001,Complete
,FDM Solicitors,FDM001\P24060014,NBC203939.001,Complete
,FDM Solicitors,FDM001\P24060016,NBC204005.001,Complete
,FDM Solicitors,FDM001\P24060001,NBC204049.001,Complete
,FDM Solicitors,FDM001\P24060012,NBC204079.001,Active
,FDM Solicitors,FDM001\P24060004,NBC204203.001,Complete
,FDM Solicitors,FDM001\P24060013,NBC204266.001,Complete
,FDM Solicitors,FDM001\P24060009,NBC204312.001,Complete
,FDM Solicitors,FDM001\P24060047,NBC202359.001,Active
,FDM Solicitors,FDM001\P24060046,NBC202631.001,Active
,FDM Solicitors,FDM001\P24060038,NBC202872.001,Active
,FDM Solicitors,FDM001\P24060030,NBC203033.001,Active
,FDM Solicitors,FDM001\P24060045,NBC203132.001,Complete
,FDM Solicitors,FDM001\P24060044,NBC203297.001,Complete
,FDM Solicitors,FDM001\P24060024,NBC203329.001,Complete
,FDM Solicitors,FDM001\P24060043,NBC203536.001,Complete
,FDM Solicitors,FDM001\P24060031,NBC203577.001,Complete
,FDM Solicitors,FDM001\P24060032,NBC203624.001,Complete
,FDM Solicitors,FDM001\P24060025,NBC203655.001,Complete
,FDM Solicitors,FDM001\P24050094,NBC203675.001,Complete
,FDM Solicitors,FDM001\P24060042,NBC203706.001,Complete
,FDM Solicitors,FDM001\P24060029,NBC203760.001,Complete
,FDM Solicitors,FDM001\P24060034,NBC203831.001,Active
,FDM Solicitors,FDM001\P24060048,NBC203848.001,Complete
,FDM Solicitors,FDM001\P24060022,NBC203905.001,Complete
,FDM Solicitors,FDM001\P24060035,NBC204121.001,Active
,FDM Solicitors,FDM001\P24060028,NBC204141.001,Active
,FDM Solicitors,FDM001\P24060036,NBC204146.001,Complete
,FDM Solicitors,FDM001\P24060033,NBC204174.001,Active
